CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
1.0,39.0,1.0,4.0,4.0,1.0,0.0,139111.11,,,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,1521.0,4.0,1.0,,1252000.0,,9
1.0,35.0,5.0,1.0,6.0,1.0,0.0,2500000.0,,,,2.0,7900.0,0.0,6.0,2025,3.0,2.0,1,2.0,1225.0,7.0,1.0,17.0,2500000.0,48.0,1
2.0,46.0,3.0,1.0,6.0,1.0,0.0,1133333.33,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,2116.0,7.0,1.0,17.0,3400000.0,45.0,3
1.0,38.0,2.0,1.0,3.0,1.0,0.0,0.0,99.0,,,1.0,4000.0,0.0,3.0,2025,3.0,1.0,0,1.0,1444.0,4.0,2.0,,0.0,44.0,10
2.0,42.0,2.0,4.0,3.0,1.0,0.0,0.0,99.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1764.0,4.0,2.0,,0.0,,10
1.0,49.0,5.0,4.0,3.0,1.0,0.0,0.0,99.0,,,1.0,4000.0,0.0,2.0,2025,3.0,2.0,1,2.0,2401.0,4.0,2.0,,0.0,44.0,6
2.0,39.0,3.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,5.0,2025,3.0,1.0,0,1.0,1521.0,4.0,1.0,,0.0,,6
2.0,41.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,,,2.0,9700.0,0.0,0.0,2025,3.0,1.0,0,1.0,1681.0,4.0,2.0,,0.0,,6
2.0,41.0,3.0,1.0,6.0,1.0,0.0,457500.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,1681.0,7.0,1.0,17.0,1830000.0,,4
2.0,64.0,4.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,1009.0,0.0,0.0,2025,2.0,0.0,0,2.0,4096.0,4.0,1.0,,0.0,9.0,1
